"track_id","track_artist","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"2aNGaSTJcM4XszZlkeC46n","Elvin Bishop","Come On in This House (feat. Homemade Jamz Band)","0.506","0.588","-8.995",1,"0.0306","0.0185","0.0000166","0.0589","0.362","103.069",219947,4
"2rPjWpn76p5oK7MOW4KvTh","Atmosphere","Your Name Here","0.804","0.458","-5.997",1,"0.0302","0.162","0.00000258","0.0964","0.158","87.016",217293,4
"50PvjebDhu2VQ84VxYjvVI","Ben Folds","Selfless, Cold and Composed (feat. The Sacramento State Jazz Singers) - University A Cappella Version","0.419","0.529","-8.677",1,"0.044","0.653","0.00000144","0.124","0.32","82.564",383507,4
"0mnxmqbLPurbEtNt22BrKE","Jason Robert Brown","Someone Else's Clothes","0.637","0.697","-5.543",1,"0.0912","0.297","0","0.0888","0.554","90.096",330000,4
"5Qyeh1HqfGKJFLFMugpcgv","Firewater","Diamonds and Gold","0.749","0.355","-10.861",0,"0.0347","0.381","0.000329","0.0854","0.542","128.362",232733,4
"44JCg1QvEQkWqmdtRaZnUa","The Reign of Kindo","City Lights & Traffic Sounds","0.568","0.672","-9.177",0,"0.0303","0.463","0.00367","0.354","0.329","102.899",235853,4
"5cxBXZslPlWsIfQ8Pwf7Qr","Chad Smith's Bombastic Meatbats","Greasy Louise","0.524","0.677","-8.909",1,"0.0358","0.00857","0.78","0.476","0.497","102.86",244420,4
"3EwGjMi96oleNxtlXXoonW","Truckfighters","Atomic","0.404","0.759","-6.309",0,"0.0597","0.0607","0.511","0.176","0.797","82.371",308147,4
"7wgrVZNufwBsiLb12VjdWv","KMFDM","Krank","0.542","0.847","-7.37",0,"0.0343","0.0000136","0.791","0.126","0.241","129.975",309693,4
"0hgBLkZoVasP6l2w3nWbiI","Haferflocken Swingers","Old Yella","0.658","0.637","-5.726",0,"0.0703","0.253","0.0000203","0.649","0.736","109.347",248800,4
"5V2bdNuCVbGJG8ztqJQb1r","Movits!","40 Bars","0.658","0.699","-4.856",1,"0.324","0.259","0","0.353","0.792","66.564",93853,5
"3Fm514En3RXInsGJBgqvQc","Jerobeam","Folsom Prison Blues","0.691","0.748","-8.1",0,"0.0385","0.017","0.0116","0.0885","0.968","92.202",240627,4
"2wahCAgkjS1zAnzaZy1cIs","The Clients Funk Society","Wonderbrass","0.783","0.754","-8.286",0,"0.0379","0.0198","0.397","0.0249","0.651","123.396",206387,4
"6MP1nXFLIBUAsHDRGWlhOv","Defunkt","Knuckle Sandwich","0.82","0.727","-9.925",0,"0.0637","0.0492","0.00218","0.297","0.861","119.678",247333,4
"7xqUrcModMRC4M6wpvYLRh","Fred Wesley & The Horny Horns Featuring Maceo Parker","A Blow For Me, A Toot To You","0.839","0.618","-8.868",0,"0.29","0.178","0.181","0.0819","0.961","85.409",435333,4
"3s0cHTqkHRe335M1C0uKPs","Breakestra","Lowdown Stank","0.686","0.963","-3.211",1,"0.0426","0.162","0.0663","0.0585","0.928","101.899",401427,4
"048sDFIhE2CzXGY5sF5o1t","The Flower Kings","Drivers Seat","0.306","0.732","-9.07",1,"0.0734","0.00332","0.000429","0.0969","0.212","139.964",1100920,4
"3vPZNhkkhAupLlC9v3SrBj","The Raconteurs","Blue Veins","0.356","0.434","-9.361",0,"0.0454","0.193","0.00565","0.134","0.0796","130.698",232493,3
"4QQU3p0Me4SdxfayEOU66N","Firebird","Steamroller","0.264","0.902","-5.109",0,"0.124","0.00253","0.0398","0.186","0.432","83.595",305907,4
"1k7o67gk8hle7UfwC4t7bo","Tyler Bryant & the Shakedown","Downtown Tonight","0.445","0.698","-5.74",1,"0.0307","0.421","0.0331","0.107","0.521","174.709",247600,4
"76o1OKnYwarhColk6NQZYX","Quaker City Night Hawks","Cold Blues","0.539","0.674","-6.838",1,"0.0268","0.0468","0.0235","0.11","0.766","139.075",217533,4
"3l5onnbzAUvv7sPGyzIvyf","Albert King","I'll Be Doggone","0.525","0.577","-8.733",1,"0.203","0.417","0.0000109","0.175","0.821","169.264",341307,4
"38KkuEgkcdrxOIbqijawtU","Opeth","Hessian Peel","0.37","0.731","-8.061",1,"0.0527","0.00503","0.509","0.106","0.0934","123.602",685800,4
"3UwTk1QEuAdfwptvm9BDYF","Bronk","Bomp","0.616","0.683","-7.641",1,"0.0588","0.0236","0.666","0.114","0.802","180.176",198653,4
