"source","track_id","track_name","track_artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_sec","time_signature"
"KW","06u7kUlGBHE26tzB0vANF7","Jealous","Diplomats of Solid Sound","0.609","0.858","0","-5.019","0","0.0494","0.0165","0.0812","0.0644","0.933","104.422","181","4"
"KW","0W7Z9edIuagr1TmOTzNVMW","Little Love","The Soul Snatchers","0.797","0.791","4","-6.282","0","0.108","0.242","0.000111","0.0694","0.962","78.01","278","4"
"KW","3XdtfkqsjOEFwT1peCV8b9","Cook It Up (feat. P.F.A.C.)","Aesop Rock","0.782","0.724","1","-7.503","1","0.408","0.505","0","0.639","0.764","82.089","226","4"
"KW","0zxKXN0V3FhW2ltycon0dh","Friend of Mine","The Cold Stares","0.654","0.785","2","-4.165","1","0.0396","0.0185","0.0000593","0.059","0.688","176.037","162","4"
"KW","4eMxLQtSdgxdA1Hs6D2YuN","In Hell I'll Be in Good Company","The Dead South","0.772","0.235","7","-9.075","0","0.0479","0.753","0.00125","0.111","0.703","154.802","245","4"
"KW","5voIoFpbuy0frbhBzqenqC","Scarlet Town","Chris Thile","0.618","0.172","7","-15.342","1","0.0518","0.969","0.0321","0.079","0.462","152.435","363","4"
"KW","3j5V7IBvCa6P6JhZnCjT7F","The Only Way","Tricky","0.656","0.421","4","-8.528","1","0.0291","0.248","0.775","0.1","0.1","120.012","291","4"
"KW","2T3WJZLfknGj7ihx24Ody3","DROPS OF HAPPINESS","T-SQUARE","0.483","0.66","6","-9.783","0","0.0388","0.164","0.918","0.0967","0.717","190.186","270","3"
"KW","1HRfk33rb6Td8NqQsZ2wC8","Tear The Roof Off (feat. Watsky)","Bliss n Eso","0.736","0.89","1","-5.07","0","0.249","0.161","0","0.166","0.679","142.101","206","4"
"KW","5PqdGrQr36yD6luUNJg3up","Multiplier","The Greyboy Allstars","0.597","0.909","4","-7.36","0","0.0482","0.00361","0.698","0.251","0.86","107.88","276","4"
"KW","6Q90anzFub9ZhzmhLLwuZA","Gotta Get My Hands On Some (Money)","Fatback Band","0.802","0.818","5","-7.922","1","0.13","0.238","0.376","0.152","0.73","118.779","226","4"
"KW","7b3ceiH1Cy03cR0GtlqgHV","Tripped Out Slim","Trombone Shorty","0.758","0.792","3","-5.59","1","0.079","0.133","0.0138","0.0245","0.666","115.752","139","4"
"KW","0HCLvzjx8mkL7OAvRg9osD","Phat Not Flat","Mauro Ottolini 8Funk Project","0.636","0.679","10","-10.871","0","0.111","0.207","0.000105","0.176","0.561","98.971","335","4"
"KW","4O0XfFuNoOGaHCqzelMylQ","Don't Wake Me","Moonchild","0.626","0.361","11","-12.054","1","0.19","0.605","0.059","0.0714","0.724","83.501","285","4"
"KW","2y6rfQMvcFhJSiOMDqgqI2","How Else (feat. Rich The Kid & ILoveMakonnen)","Steve Aoki","0.798","0.834","1","-1.833","1","0.0371","0.00323","0.0000808","0.151","0.728","149.984","173","4"
"KW","1kId8o2NIHcg8bmqmuIg1w","Repress","Ordinance","0.612","0.97","6","-4.362","1","0.0613","0.00557","0.000251","0.32","0.333","117.517","272","4"
"KW","6o69IdDbK3CSUUQfXlX2CN","The Blind Watchmaker","Spheron","0.269","0.995","2","-3.656","0","0.165","0.00227","0.719","0.0517","0.131","112.398","418","4"
"KW","60IZhkTMKK41UKgIcHY4ns","Fashion","Owane","0.326","0.649","6","-11.612","1","0.0514","0.041","0.868","0.106","0.337","149.751","231","4"
"KW","39uUVImdhfZmDdbq4xectp","Don't Fuck With Joe","The Blackwater Fever","0.392","0.708","1","-6.82","1","0.0588","0.0415","0.000464","0.256","0.483","157.414","205","4"
"KW","6sHU7JZXvhLt4HXRSKuHic","Southern Outlaw","Stone Machine","0.4","0.75","6","-4.563","0","0.0448","0.109","0","0.197","0.822","170.258","166","4"
"KW","7k5xsLopn4tgTYsXXuSaEg","Proper Funds","Tub Ring","0.79","0.617","1","-4.744","1","0.0623","0.0503","0.0032","0.0923","0.532","83.974","93","4"
"KW","7wlcweEsneQgizqNOrUqJE","Shaolin Monk Motherfunk","Hiatus Kaiyote","0.415","0.463","6","-9.86","0","0.0823","0.134","0.00255","0.101","0.573","96.1","351","4"
"KW","4DNJDt8cxCSLT81rjlD6h4","One Way Outta Here","The Cold Stares","0.525","0.854","1","-6.294","1","0.0654","0.0102","0.000275","0.346","0.469","82.973","227","4"
"KW","1scrlKynvXpAbnZ2r7GU1c","Chalk and Coal","Iamthemorning","0.429","0.464","10","-15.138","0","0.043","0.535","0.0543","0.139","0.0408","127.025","297","4"
"KW","5JpOCHGH1Wq1RFSLJteufN","Over Your Shoulder","Chromeo","0.784","0.653","2","-6.338","0","0.0404","0.322","0.00028","0.163","0.905","114.002","272","4"
"KW","4T1168WOWj7Ch7DbbNEFp7","Crumbling Castle","King Gizzard & The Lizard Wizard","0.348","0.738","6","-7.221","0","0.0447","0.136","0.0327","0.0689","0.593","99.771","644","3"
"KW","13mDG8jaeiaquPfyxYhjxF","Sour Apples","The Cool Kids","0.742","0.721","9","-8.149","0","0.211","0.18","0","0.0521","0.492","104.087","153","4"
"KW","1vdgTDW98RoUCUEg9Qx0O1","Stockholm Syndrome","That Handsome Devil","0.738","0.716","10","-6.422","0","0.0527","0.00245","0.0313","0.0279","0.829","100.094","166","4"
"KW","3D73qlO3Nkoj7H3mr54ron","Prinoner of the Tiki Room","Mojo Nixon","0.494","0.381","9","-7.21","1","0.046","0.776","0.00118","0.0728","0.529","103.58","152","4"
"KW","48td6xvpokdYwvbl3JIiXP","Love Never Felt so Good","Michael Jackson","0.775","0.719","7","-6.212","0","0.0435","0.132","0.00000179","0.0662","0.712","117.513","246","4"
"KW","1SHK388zuZzBCiUP5KOiAe","Master Plan","Federal Charm","0.314","0.883","7","-3.67","1","0.0459","0.000601","0.00028","0.275","0.564","80.484","196","4"
"KW","6LaEaOwWkvP8DWa7S3yXkC","Afterburger","Arch Echo","0.366","0.989","2","-3.378","1","0.176","0.00036","0.863","0.143","0.235","166.911","310","4"
"KW","5KbQA1Nx5MDQlqeX1yg3ae","Breakout","Derek Frank","0.656","0.944","2","-5.048","1","0.0482","0.114","0.241","0.107","0.699","130.099","307","4"
"KW","0mcO5BXKTvLug9sjHqQodZ","T.M.P.","Big Sam's Funky Nation","0.538","0.894","1","-9.212","1","0.0492","0.0321","0.879","0.129","0.756","121.56","263","4"
"KW","14IwWPbLxITWFEJRvGnFi1","By Your Side","Soil & ""Pimp"" Sessions","0.73","0.683","7","-9.067","0","0.225","0.722","0.00477","0.034","0.85","93.929","280","4"
"KW","28koESEoRVuT0dKEp9UEnw","Spotlight","Jazztronik","0.56","0.794","0","-4.647","1","0.327","0.43","0.00000513","0.0337","0.854","187.629","253","4"
"KW","0O21ezSaL48lYRUsnT3WJ0","Have a Nice Day!","H ZETTRIO","0.632","0.508","7","-9.101","1","0.0916","0.657","0.715","0.333","0.603","101.459","264","4"
"KW","2fAECghmrOUoo7rwLZVqrN","Turning Points","Addison Groove Project","0.55","0.804","7","-4.305","0","0.0401","0.206","0.217","0.0603","0.79","112.461","393","4"
"KW","5PtCTa4Br6JKUUUikVRam3","Postcards","Grieves","0.658","0.756","4","-6.788","0","0.263","0.0335","0.00016","0.254","0.607","148.104","228","4"
"KW","1FL09Ba2cWrKiqEpTUiOHL","Time Wasters","Gentleman's Pistols","0.359","0.894","11","-6.248","0","0.212","0.000124","0.166","0.157","0.684","85.165","349","4"
"KW","78qpAvQJ05dgqke1lX63PP","Is Okay","Seyo","0.793","0.871","11","-6.235","1","0.0667","0.108","0.000229","0.147","0.656","143.988","196","4"
"KW","6nO0XhSYtZ4wqJt5J5TpCO","What I Wanted (feat. Moli)","Fabich","0.82","0.705","9","-6.068","0","0.417","0.191","0","0.2","0.586","127.079","153","4"
"KW","4JXXyXK12F0LGuYyxI1DGv","Bet Ain't Worth the Hand","Leon Bridges","0.546","0.539","4","-5.588","1","0.0346","0.777","0","0.124","0.286","119.637","186","4"
"KW","5EpVXKDlmJP9y5BSBwLqtZ","Run Away (Eric Lau & Kaidi Tatham Remix)","Moonchild","0.781","0.449","1","-4.937","0","0.107","0.292","0.00467","0.422","0.522","92.999","209","4"
"KW","79esEXlqqmq0GPz0xQSZTV","Lost In Japan","Shawn Mendes","0.713","0.738","10","-6.784","1","0.374","0.255","0","0.106","0.425","105.027","201","4"
"KW","53VM4gvsYb6ONo53dV27Kt","Spread It All Around","The Hipstones","0.648","0.611","10","-8.105","0","0.0408","0.183","0.00172","0.0973","0.544","101.191","331","4"
"KW","17WvqOCeq5E2nWMOvdRsvz","Nothing in the World","The Hipstones","0.557","0.532","8","-6.666","1","0.0514","0.208","0.0000246","0.0362","0.277","128.086","235","4"
"KW","3O6uYNUr3xLaBlFoZnxIcM","Stop It","Johnny Sketch & The Dirty Notes","0.768","0.631","6","-6.67","1","0.0711","0.073","0.00021","0.0684","0.878","120.034","281","4"
"KW","5OG8AIpj2rLoh9tNZyL6lg","Funk Forever","The Pendletons","0.85","0.634","8","-8.525","0","0.199","0.00282","0.000932","0.122","0.807","115.944","265","4"
"KW","3WdXUWFdf1js00jNSpZU0U","Messenger (feat. Aaron Marshall)","Sithu Aye","0.432","0.819","5","-4.648","0","0.0465","0.0000984","0.828","0.111","0.504","156.007","340","4"
"KW","0d2XP7551co5Ij7TUHrne1","Without A Sound","Edison Glass","0.432","0.811","10","-4.048","0","0.0715","0.000365","0.000234","0.0686","0.544","174.949","241","4"
"KW","6Oj4srr7wuNg5MEG4qWqSw","Things Ain't What They Was","Mingo Fishtrap","0.656","0.578","0","-8.235","1","0.0306","0.294","0.00178","0.533","0.737","97.001","242","4"
"KW","39hnH8WdPmNT3Q3yzwC9Rg","Why You Always Hatin?","YG","0.926","0.336","0","-9.326","0","0.594","0.0392","0","0.138","0.38","92.995","197","4"
"KW","6iaEL3KYwAb1cUtdOjSxNl","Don't Come To LA","YG","0.689","0.564","0","-8.604","1","0.189","0.021","0.0000423","0.472","0.107","100.002","216","4"
"KW","5ZxteN0udBmAcPxzpcq6cY","A Fleeting Glance","Opeth","0.48","0.385","11","-11.465","0","0.0269","0.0525","0.0274","0.107","0.332","155.074","307","3"
"KW","3oNn2Qg40BPekTa4zxpSp2","Blue in Green","Anti-Lilly & Phoniks","0.792","0.538","11","-8.654","0","0.314","0.535","0","0.122","0.761","91.992","201","4"
"KW","0Oqhw691klP8oeKM3joA9g","Blue in Green","Weldon Irvine","0.65","0.948","10","-7.813","0","0.0524","0.000328","0.793","0.217","0.714","111.565","355","4"
"KW","0eLvWUMEyflsaEfP6PPr1h","Blue In Green","Gretchen Parlato","0.504","0.327","1","-14.356","1","0.028","0.815","0.806","0.106","0.295","106.634","252","1"
"KW","5jtSajjfhRRPozlv03Ue13","My Friend Blue","Fillmore Slim","0.75","0.578","9","-5.442","0","0.0356","0.405","0.0000537","0.046","0.622","112.352","249","3"
"KW","5nSrNZnwiEu0Y9oQEeYPoM","Ahead of My Time","Anti Lilly","0.782","0.598","3","-8.459","0","0.581","0.303","0","0.098","0.896","85.825","148","4"
"KW","6FrFMAGUpH6DT52Czad1RN","Stare At The Sun","Mutemath","0.46","0.72","6","-6.494","1","0.042","0.00259","0.0000109","0.372","0.647","181.92","273","3"
"KW","5jz2XYi3qJC3nN62FW1PUp","Sentient (feat. Hayley Stewart)","Perturbator","0.494","0.79","8","-4.165","1","0.0338","0.013","0.233","0.165","0.0398","120.006","333","4"
"KW","0ZdPv45oVlh5eI9EnBCun6","Smack (feat. Ty Dolla $ign & IAMSU!)","Audio Push","0.728","0.635","8","-9.068","1","0.285","0.124","0","0.701","0.56","97.011","307","4"
"KW","1iMFCmdgckITIcGKcAnYji","Baptism of Fire","Sahg","0.263","0.914","9","-4.922","1","0.0555","0.00176","0","0.173","0.43","113.807","219","4"
"KW","6tw4HTcqBCIvznYgJ8zmsf","The Voluptuous Panic","Born Again Floozies","0.679","0.724","10","-10.11","1","0.0855","0.0377","0.149","0.143","0.603","88.003","131","4"
"KW","6or1VbOYOIjDPxJxyjZvuE","Holland","Brad Mehldau Trio","0.414","0.267","10","-17.391","0","0.0338","0.824","0.934","0.109","0.327","110.242","527","3"
"KW","5xAfdl3UzWnifSOvlVJUXn","Hats Off to Harry","Maceo Parker","0.548","0.848","7","-4.735","1","0.305","0.172","0.000123","0.253","0.647","203.781","277","4"
"KW","36XAzscdDbMhQrKj3GF8jp","Hide It","Groove Collective","0.469","0.909","1","-5.114","1","0.0397","0.0871","0.921","0.0779","0.675","137.32","292","4"
"KW","5oCesSn1ndF0E9nQTq9xPV","Lights","The Brand New Heavies","0.764","0.566","0","-12.578","1","0.0429","0.0468","0.000305","0.0792","0.937","120.072","251","4"
"KW","7HhyLr4dm0wZylFWYz9mSw","Nightingale","Dirt Poor Robins","0.214","0.365","3","-9.466","1","0.0337","0.909","0.00202","0.107","0.112","130.426","239","3"
"KW","7extBYaQIMjgCXWjdj2xwJ","Real Thing","Bondax","0.808","0.681","2","-5.959","0","0.0367","0.0949","0.0198","0.25","0.612","108.982","216","4"
"KW","5aTqkzPP9PJ7wta153R5Xt","Shake It Out","Grace Love and the True Loves","0.626","0.724","10","-6.031","0","0.0641","0.144","0.000104","0.0676","0.754","130.673","200","4"
"KW","1hlgcF5OeXLywadYzMrWuE","It's over Now","Kennedy Administration","0.72","0.831","1","-4.731","1","0.187","0.0489","0","0.0743","0.667","107.124","229","4"
"KW","5FS2gDV79Kz3WI2aZNBga2","Matches (Prod. Rube) [feat. Dem Atlas]","Guante","0.727","0.918","6","-4.232","1","0.215","0.118","0","0.141","0.815","95.455","244","4"
"KW","35Cy1KKtZ9YfuDAOAmzc4R","Our Affairs","Cory Henry & The Funk Apostles","0.817","0.586","11","-9.521","0","0.0802","0.0263","0.00464","0.0812","0.752","107.972","321","4"
"KW","6R3h3NApczKdF0GHqLD1Iv","Buddha (feat. Johnny O'Hagan)","Strawberry Girls","0.282","0.815","11","-6.976","0","0.0389","0.000588","0.79","0.119","0.11","145.978","393","3"
"KW","0k5M5HOsekGYn7GKVUfBGc","Step By Step","Jesse Winchester","0.522","0.463","9","-10.341","0","0.0393","0.258","0","0.159","0.92","171.682","177","4"
"KW","3AsxPFJbPVU3wUnPrDLn4s","Holding My Own","Her Songs","0.675","0.54","8","-6.26","0","0.0382","0.632","0.0000619","0.176","0.41","89.014","204","4"
"KW","0ulct3cASnhGvaGhFIuIyZ","Temptation","Raveena","0.734","0.541","7","-8.86","1","0.131","0.454","0.000851","0.132","0.501","140.044","249","4"
"KW","6yViG0VPb3CCDIOwzAAzhq","Lightwork","Tinie Tempah","0.814","0.904","1","-1.951","1","0.0553","0.018","0.000124","0.0647","0.491","105.029","224","4"
"KW","3UXrGL6fSOpHRE0SoyX6ez","Gangsta Song","E-40","0.799","0.685","7","-4.672","1","0.18","0.118","0","0.491","0.357","97.962","210","4"
"KW","1nIKpbGBEPidzXgWrdnh1H","Jumbo","Punch Brothers","0.773","0.28","8","-12.355","0","0.0694","0.964","0.0128","0.131","0.372","93.521","216","4"
"KW","0XOMoQbYxYPVLxwK4VDmNA","All Of A Sudden","Lil Baby","0.759","0.732","1","-5.546","1","0.118","0.000142","0.0016","0.0626","0.379","140.005","169","4"
"KW","2XOBCQRuNNeOt6HnHV12x2","Afterglow","Tkay Maidza","0.746","0.793","7","-6.12","1","0.0791","0.0018","0.0572","0.262","0.392","100.046","180","4"
"KW","39quck8Ns0AgGSpWZBsJ4M","Numbers","The Flower Kings","0.231","0.758","9","-6.535","0","0.0594","0.326","0.000535","0.106","0.185","165.705","1527","4"
"KW","3rt0G9i8LVEWyJyTPyl5pV","Leftside","Audio Push","0.626","0.838","9","-3.88","0","0.281","0.227","0","0.202","0.784","94.207","182","4"
"KW","5QguCySD3HC1yB22ejFjAz","Move Forward","The Lox","0.637","0.921","4","-2.004","0","0.276","0.186","0","0.0819","0.91","94.057","229","4"
"KW","7jKUnzzOGhAlPjr7LkIUlE","Momma I Hit A Lick (feat. Kendrick Lamar)","2 Chainz","0.796","0.467","11","-6.293","1","0.34","0.202","0.0000332","0.206","0.4","179.974","174","3"
"KW","2jB4X5P7fMfpG3Nj8jrgCG","Death Or Devotion","The Motet","0.824","0.492","10","-6.328","0","0.128","0.143","0.00179","0.0694","0.864","89.962","266","4"
"KW","41uX0L4bro4KfKtDIIEFFe","FUN!","Vince Staples","0.953","0.554","0","-5.12","1","0.076","0.616","0.000869","0.106","0.457","101.011","171","4"
"TS","6DCZcSspjsKoFjzjrWoCd","God's Plan","Drake","0.754","0.449","7","-9.211","1","0.109","0.0332","0.0000829","0.552","0.357","77.169","198973","4"
"TS","3ee8Jmje8o58CHK66QrVC","SAD!","XXXTENTACION","0.74","0.613","8","-4.88","1","0.145","0.258","0.00372","0.123","0.473","75.023","166606","4"
"TS","0e7ipj03S05BNilyu5bRz","rockstar (feat. 21 Savage)","Post Malone","0.587","0.535","5","-6.09","0","0.0898","0.117","0.0000656","0.131","0.14","159.847","218147","4"
"TS","3swc6WTsr7rl9DqQKQA55","Psycho (feat. Ty Dolla $ign)","Post Malone","0.739","0.559","8","-8.011","1","0.117","0.58","0","0.112","0.439","140.124","221440","4"
"TS","2G7V7zsVDxg1yRsu7Ew9R","In My Feelings","Drake","0.835","0.626","1","-5.833","1","0.125","0.0589","0.00006","0.396","0.35","91.03","217925","4"
"TS","7dt6x5M1jzdTEt8oCbisT","Better Now","Post Malone","0.68","0.563","10","-5.843","1","0.0454","0.354","0","0.136","0.374","145.028","231267","4"
"TS","58q2HKrzhC3ozto2nDdN4","I Like It","Cardi B","0.816","0.726","5","-3.998","0","0.129","0.099","0","0.372","0.65","136.048","253390","4"
"TS","7ef4DlsgrMEH11cDZd32M","One Kiss (with Dua Lipa)","Calvin Harris","0.791","0.862","9","-3.24","0","0.11","0.037","0.0000219","0.0814","0.592","123.994","214847","4"
"TS","76cy1WJvNGJTj78UqeA5z","IDGAF","Dua Lipa","0.836","0.544","7","-5.975","1","0.0943","0.0403","0","0.0824","0.51","97.028","217947","4"
"TS","08bNPGLD8AhKpnnERrAc6","FRIENDS","Marshmello","0.626","0.88","9","-2.384","0","0.0504","0.205","0","0.128","0.534","95.079","202621","4"
"TS","1rfofaqEpACxVEHIZBJe6","Havana","Camila Cabello","0.765","0.523","2","-4.333","1","0.03","0.184","0.0000356","0.132","0.394","104.988","217307","4"
"TS","0s3nnoMeVWz3989MkNQiR","Lucid Dreams","Juice WRLD","0.511","0.566","6","-7.23","0","0.2","0.349","0","0.34","0.218","83.903","239836","4"
"TS","3CA9pLiwRIGtUBiMjbZmR","Nice For What","Drake","0.586","0.909","8","-6.474","1","0.0705","0.0891","0.000109","0.119","0.757","93.394","210747","4"
"TS","7fa9MBXhVfQ8P8Df9OEbD","Girls Like You (feat. Cardi B)","Maroon 5","0.851","0.541","0","-6.825","1","0.0505","0.568","0","0.13","0.448","124.959","235545","4"
"TS","09IStsImFySgyp0pIQdqA","The Middle","Zedd","0.753","0.657","7","-3.061","1","0.0449","0.171","0","0.112","0.437","107.01","184732","4"
"TS","3GCdLUSnKSMJhs4Tj6CV3","All The Stars (with SZA)","Kendrick Lamar","0.698","0.633","8","-4.946","1","0.0597","0.0605","0.000194","0.0926","0.552","96.924","232187","4"
"TS","2qT1uLXPVPzGgFOx4jtEu","no tears left to cry","Ariana Grande","0.699","0.713","9","-5.507","0","0.0594","0.04","0.00000311","0.294","0.354","121.993","205920","4"
"TS","39N9RPD9MRb5WmoLzNzPe","X","Nicky Jam","0.595","0.773","9","-4.736","0","0.0549","0.0364","0.00108","0.334","0.711","180.073","173628","4"
"TS","0JP9xo3adEtGSdUEISisz","Moonlight","XXXTENTACION","0.921","0.537","9","-5.723","0","0.0804","0.556","0.00404","0.102","0.711","128.009","135090","4"
"TS","4qKcDkK6siZ7Jp1Jb4m0a","Look Alive (feat. Drake)","BlocBoy JB","0.922","0.581","10","-7.495","1","0.27","0.00104","0.0000586","0.105","0.595","140.022","181263","4"
"TS","5CLGzJsGqhCEECcpnFQA8","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","0.653","0.809","0","-4.057","1","0.0474","0.194","0","0.165","0.55","92.213","210773","4"
"TS","3V8UKqhEK5zBkBb6d6ub8","Te Bot? - Remix","Nio Garcia","0.903","0.675","11","-3.445","0","0.214","0.542","0.0000128","0.0595","0.442","96.507","417920","4"
"TS","7uzmGiiJyRfuViKKK3lVm","Mine","Bazzi","0.71","0.789","4","-3.874","1","0.0722","0.0161","0.00000277","0.451","0.717","142.929","131064","4"
"TS","2iUXsYOEPhVqEBwsqP70r","Youngblood","5 Seconds of Summer","0.596","0.854","7","-5.114","0","0.463","0.0169","0","0.124","0.152","120.274","203418","4"
"TS","2xJCMIJfcNYDc5iR0sAm2","New Rules","Dua Lipa","0.762","0.7","9","-6.021","0","0.0694","0.00261","0.0000156","0.153","0.608","116.073","209320","4"
"TS","7qiZfU4dY1lWllzX7mPBI","Shape of You","Ed Sheeran","0.825","0.652","1","-3.183","0","0.0802","0.581","0","0.0931","0.931","95.977","233713","4"
"TS","45Egmo7icyopuzJN0oMEd","Love Lies (with Normani)","Khalid","0.708","0.648","6","-5.626","1","0.0449","0.0956","0","0.134","0.338","143.955","201707","4"
"TS","4e4fqjx0Izh4svvTef1z7","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","0.642","0.772","10","-6.61","1","0.0848","0.0476","0","0.0646","0.589","153.995","164205","4"
"TS","7m9OqQk4RVRkw9JJdeAw9","Jocelyn Flores","XXXTENTACION","0.872","0.391","0","-9.144","0","0.242","0.469","0.00000413","0.297","0.437","134.021","119133","4"
"TS","0tgVpDi06FyKpA1z0VMD4","Perfect","Ed Sheeran","0.599","0.448","8","-6.312","1","0.0232","0.163","0","0.106","0.168","95.05","263400","3"
"TS","5IaHrVsrferBYDm0bDyAB","Taste (feat. Offset)","Tyga","0.884","0.559","0","-7.442","1","0.12","0.0236","0","0.101","0.342","97.994","232959","4"
"TS","6kPJZM97LwdG9QIsT7khp","Solo (feat. Demi Lovato)","Clean Bandit","0.737","0.636","11","-4.546","0","0.0437","0.0441","0.0000666","0.35","0.565","105.005","222653","4"
"TS","75ZvA4QfFiZvzhj2xkaWA","I Fall Apart","Post Malone","0.556","0.538","8","-5.408","0","0.0382","0.0689","0","0.196","0.291","143.95","223347","4"
"TS","63SevszngYpZOwf63o61K","Nevermind","Dennis Lloyd","0.592","0.691","3","-8.354","1","0.196","0.156","0.00000978","0.418","0.0796","99.976","156600","4"
"TS","2hl6q70unbviGo3g1R7uF","?chame La Culpa","Luis Fonsi","0.726","0.889","0","-3.655","1","0.0429","0.0328","0","0.0925","0.649","96.024","173720","4"
"TS","0d2iYfpKoM0QCKvcLCkBa","Eastside (with Halsey & Khalid)","benny blanco","0.56","0.68","6","-7.648","0","0.321","0.555","0","0.116","0.319","89.391","173800","4"
"TS","4eWQlBRaTjPPUlzacqEeo","Never Be the Same","Camila Cabello","0.637","0.713","0","-4.333","1","0.0747","0.181","0.000637","0.137","0.243","129.923","226973","4"
"TS","0tBbt8CrmxbjRP0pueQky","Wolves","Selena Gomez","0.72","0.807","11","-4.59","0","0.0432","0.129","0","0.183","0.305","124.946","197993","4"
"TS","7AFASza1mXqntmGtbxXpr","changes","XXXTENTACION","0.669","0.308","11","-10.068","1","0.029","0.883","0","0.0984","0.52","64.934","121887","4"
"TS","0E9ZjEAyAwOXZ7wJC0PD3","In My Mind","Dynoro","0.694","0.77","6","-5.335","1","0.149","0.176","0.000011","0.118","0.163","125.905","184560","4"
"TS","1cS0TgbR263ey9jn0MwD2","River (feat. Ed Sheeran)","Eminem","0.748","0.749","8","-5.916","0","0.516","0.142","0","0.0713","0.659","90.09","221013","4"
"TS","6KuqAtoeVzxAYOaMveLNp","Dura","Daddy Yankee","0.791","0.848","1","-3.456","1","0.0506","0.183","0","0.409","0.828","95","200480","4"
"TS","2xLMifQCjDGFmkHkpNLD9","SICKO MODE","Travis Scott","0.834","0.73","8","-3.714","1","0.222","0.00513","0","0.124","0.446","155.008","312820","4"
"TS","1zB4vmk8tFRmM9UULNzbL","Thunder","Imagine Dragons","0.605","0.822","0","-4.833","1","0.0438","0.00671","0.134","0.147","0.288","167.997","187147","4"
"TS","6jA8JUuPCGYjFcgw0AoM5","Me Niego","Reik","0.777","0.779","0","-4.449","0","0.0972","0.0543","0","0.636","0.768","94.023","221653","4"
"TS","4kWO6O1BUXcZmaxitpVUw","Jackie Chan","Ti?sto","0.747","0.834","3","-2.867","0","0.045","0.374","0","0.0586","0.687","128.005","215760","4"
"TS","3Vo4wInECJQuz9BIBMOu8","Finesse (Remix) [feat. Cardi B]","Bruno Mars","0.704","0.859","5","-4.877","0","0.0996","0.0185","0","0.0215","0.926","105.115","217289","4"
"TS","4hQ6UGyWQIGJmHSo0J88J","Back To You - From 13 Reasons Why ? Season 2 Soundtrack","Selena Gomez","0.601","0.724","6","-4.856","1","0.0486","0.0945","0.00000168","0.12","0.508","102.061","207905","4"
"TS","52okn5MNA47tk87PeZJLE","Let You Down","NF","0.656","0.721","5","-5.665","0","0.122","0.298","0","0.173","0.468","148.066","212120","4"
"TS","1gm616Plq4ScqNi7TVkZ5","Call Out My Name","The Weeknd","0.489","0.598","1","-4.929","1","0.036","0.218","0","0.35","0.172","134.045","228373","3"
"TS","7sO5G9EABYOXQKNPNiE9N","Ric Flair Drip (& Metro Boomin)","Offset","0.88","0.428","9","-8.28","1","0.206","0.149","0.0000507","0.114","0.333","100.007","172800","4"
"TS","2dpaYNEQHiRxtZbfNsse9","Happier","Marshmello","0.687","0.792","5","-2.749","1","0.0452","0.191","0","0.167","0.671","100.015","214290","4"
